index,target
28357560,5223
114041896,5223
78645675,5223
34898406,5223
39385057,5223
126411323,5223
393027997,5223
39233792,5223
37791996,5223
352854065,5223
383682964,5223
392172459,5223
66284706,5223
207429342,5223
37012380,5223
278206762,5223
37632867,5223
33146175,5223
31755441,5223
32393050,5223
277995927,5223
111433867,5223
37959717,5223
126561226,5223
171043356,5223
101586386,5223
34501131,5223
32283794,5223
363533473,5223
38628763,5223
111050639,5223
169292645,5223
50908670,5223
237363837,5223
39280507,5223
355530930,5223
26852211,5223
42214360,5223
46803128,5223
32954253,5223
39565262,5223
102279399,5223
30585668,5223
250151373,5223
352674931,5223
126107923,5223
202552405,5223
92618599,5223
170377127,5223
201964172,5223
46031403,5223
38569617,5223
126235090,5223
92373253,5223
34946558,5223
110590686,5223
53313677,5223
211527148,5223
31063176,5223
202423036,5223
360943189,5223
318233202,5223
250553623,5223
32796524,5223
31101714,5223
51415215,5223
111310091,5223
362417278,5223
268597727,5223
35353526,5223
39153970,5223
268354993,5223
179628400,5223
27194801,5223
324562960,5223
211719907,5223
265499864,5223
31307586,5223
105122911,5223
38673213,5223
112010453,5223
33386115,5223
113968122,5223
237422511,5223
32042172,5223
114302562,5223
351345105,5223
168258682,5223
324654571,5223
165708932,5223
250050674,5223
184312802,5223
39599175,5223
37733589,5223
35991849,5223
102348926,5223
114609445,5223
180622619,5223
179295864,5223
30733431,5223
264250821,5223
34586524,5223
291566280,5223
33739710,5223
29498653,5223
313133778,5223
237705610,5223
114694357,5223
37957577,5223
39172416,5223
32981866,5223
212058837,5223
37192133,5223
352681339,5223
51036665,5223
157341691,5223
363380973,5223
29818315,5223
126113427,5223
54270630,5223
29195298,5223
35669223,5223
129326689,5223
355691798,5223
38761402,5223
26989975,5223
39459022,5223
39595036,5223
37411137,5223
26527376,5223
31315964,5223
39577370,5223
37366411,5223
32981132,5223
171062616,5223
39048495,5223
183553441,5223
114948699,5223
66130010,5223
54167803,5223
256850566,5223
170728849,5223
26898679,5223
328178849,5223
92614690,5223
114043688,5223
212069633,5223
327549473,5223
268061252,5223
282082338,5223
178047436,5223
28340356,5223
260138079,5223
169598182,5223
39381600,5223
91080044,5223
360571941,5223
32535281,5223
39254804,5223
39725864,5223
39114879,5223
39151787,5223
33470650,5223
207796862,5223
35339406,5223
328324804,5223
31598618,5223
169528627,5223
261767093,5223
93196382,5223
261173770,5223
110946103,5223
39367573,5223
183572839,5223
383954958,5223
30624539,5223
250652145,5223
276898776,5223
170220293,5223
31502247,5223
170398403,5223
165859277,5223
36207876,5223
129387775,5223
207590331,5223
54355723,5223
112467942,5223
180320329,5223
37912892,5223
34863035,5223
364010638,5223
30644662,5223
127012896,5223
29058971,5223
39521026,5223
282072676,5223
237405011,5223
39122516,5223
26850629,5223
28418549,5223
115006036,5223
383623713,5223
37619787,5223
177621078,5223
102288698,5223
55013048,5223
237418332,5223
34363926,5223
36534615,5223
169528690,5223
87525621,5223
128704184,5223
278079185,5223
29580596,5223
34049285,5223
111367525,5223
39234095,5223
326874535,5223
27238338,5223
38465781,5223
170646190,5223
50712831,5223
177281302,5223
351914548,5223
180512365,5223
27940021,5223
39077921,5223
272761104,5223
165711854,5223
32708073,5223
66173117,5223
179912412,5223
114748574,5223
38132215,5223
268470977,5223
101919693,5223
173682336,5223
26539523,5223
38461680,5223
352658206,5223
33860269,5223
384314732,5223
66112446,5223
113870859,5223
169242899,5223
78650427,5223
26805463,5223
183233002,5223
127762101,5223
30029590,5223
29419655,5223
35708881,5223
54362917,5223
39657548,5223
66194823,5223
170280223,5223
65645873,5223
181182402,5223
208535240,5223
38049690,5223
39536622,5223
33038111,5223
91380890,5223
180856944,5223
39176588,5223
33500269,5223
105563669,5223
166973786,5223
30253276,5223
208339157,5223
114322354,5223
27657022,5223
27260451,5223
28374280,5223
27118910,5223
35190746,5223
37446134,5223
238327578,5223
124378688,5223
37274986,5223
211875445,5223
37657003,5223
199913155,5223
28210150,5223
218292585,5223
291885419,5223
38499920,5223
184131101,5223
78501954,5223
31639430,5223
35493544,5223
38708811,5223
32814742,5223
28001583,5223
165544367,5223
178112925,5223
105988184,5223
168464731,5223
179110817,5223
292408606,5223
37024911,5223
170014210,5223
53313841,5223
110114096,5223
279943054,5223
250085404,5223
27289344,5223
180538417,5223
34766932,5223
37470070,5223
260175190,5223
267578395,5223
169813485,5223
291633901,5223
30541954,5223
168975305,5223
32573082,5223
34771283,5223
326232350,5223
110449510,5223
39542367,5223
180805939,5223
30199275,5223
168945683,5223
33059598,5223
27562199,5223
91193878,5223
34643293,5223
35111398,5223
166964894,5223
318699988,5223
37611556,5223
327921015,5223
39080205,5223
126018102,5223
102359927,5223
392000086,5223
111959051,5223
32524205,5223
261141023,5223
126455296,5223
126828180,5223
169680811,5223
291627240,5223
32915689,5223
127117246,5223
208928627,5223
114535843,5223
211148132,5223
355686625,5223
93052490,5223
105635505,5223
87709611,5223
37473792,5223
291268369,5223
27363653,5223
238214131,5223
36979415,5223
350213536,5223
126163450,5223
110741964,5223
128523418,5223
123239611,5223
177437312,5223
177710284,5223
278178172,5223
165617277,5223
267489772,5223
27235547,5223
326997062,5223
211249829,5223
353205508,5223
208150817,5223
28156604,5223
45434317,5223
31501719,5223
78637371,5223
327084950,5223
36921043,5223
42535837,5223
36879556,5223
91845060,5223
202648755,5223
66150550,5223
37178753,5223
362386661,5223
38713233,5223
278075248,5223
125942969,5223
101508142,5223
129260578,5223
37416435,5223
278953473,5223
326902304,5223
39108972,5223
111524972,5223
277674444,5223
33409351,5223
112582817,5223
113501184,5223
327974719,5223
29857098,5223
211477700,5223
78524262,5223
37311590,5223
66210712,5223
27937651,5223
127291036,5223
39062298,5223
29254190,5223
128448221,5223
277596589,5223
34001614,5223
165542369,5223
65502963,5223
114871508,5223
39526670,5223
178128582,5223
33687786,5223
29008883,5223
35286348,5223
27974515,5223
36302646,5223
169920519,5223
38856499,5223
39278648,5223
250388931,5223
37003495,5223
34338424,5223
92379341,5223
36869347,5223
268113859,5223
327306318,5223
250339678,5223
104849024,5223
362035410,5223
30390142,5223
237780839,5223
93202904,5223
66147989,5223
31808208,5223
355654541,5223
91559611,5223
37872065,5223
318808538,5223
30576450,5223
54124883,5223
392957408,5223
169136491,5223
101960876,5223
318187048,5223
49995146,5223
101552224,5223
180302955,5223
170759501,5223
28608215,5223
31356945,5223
39246332,5223
250483570,5223
38521197,5223
101647011,5223
29977586,5223
35511397,5223
30451009,5223
38480550,5223
36759935,5223
